idx,x,y,tx,ty,s_norm
0,-2.0832977294921875,-0.07999999821186066,0.9903558492660522,0.1378067433834076,0.0
1,-2.073615312576294,-0.07865270227193832,0.28641968965530396,0.9578376412391663,0.007725605741143227
2,-2.0724937915802,-0.07490213960409164,-0.7170138359069824,0.696884036064148,0.01081930473446846
3,-2.078375816345215,-0.06918524950742722,-0.8423736095428467,0.5387559533119202,0.017301632091403008
4,-2.0897057056427,-0.06193900480866432,-0.876960039138794,0.4804432988166809,0.027930159121751785
5,-2.104926347732544,-0.05360036343336105,-0.8899543285369873,0.45593857765197754,0.04164568707346916
6,-2.1224820613861084,-0.044606275856494904,-0.8934906125068665,0.44897332787513733,0.0572345107793808
7,-2.1408157348632812,-0.03539372235536575,-0.8899517059326172,0.45594343543052673,0.07344972342252731
8,-2.1583712100982666,-0.026399634778499603,-0.8769631385803223,0.480437695980072,0.08903837949037552
9,-2.1735920906066895,-0.018060989677906036,-0.8423687219619751,0.5387635827064514,0.10275407135486603
10,-2.1849217414855957,-0.01081475242972374,-0.7170410752296448,0.696855902671814,0.11338244378566742
11,-2.1908042430877686,-0.00509784696623683,0.28653281927108765,0.9578038454055786,0.1198650449514389
12,-2.1896822452545166,-0.0013473033905029297,0.9903552532196045,0.1378108263015747,0.12295883148908615
13,-2.180000066757202,0.0,0.0,0.0,0.1306842565536499
14,-2.180000066757202,0.0,0.9999945759773254,0.0,0.1306842565536499
15,-1.996666669845581,0.0,0.9999945759773254,0.0,0.2755701541900635
16,-1.81333327293396,0.0,0.9999945759773254,0.0,0.42045602202415466
17,-1.630000114440918,0.0,0.9999945759773254,0.0,0.5653417110443115
18,-1.4466667175292969,0.0,0.9999945759773254,0.0,0.7102276086807251
19,-1.2633334398269653,0.0,0.9999945759773254,0.0,0.8551133871078491
20,-1.0800000429153442,0.0,0.9999945759773254,0.0,0.9999992251396179
