idx,x,y,tx,ty,s_norm
0,-2.2350339889526367,-0.06629407405853271,0.9968921542167664,0.0773063376545906,0.0
1,-2.226353645324707,-0.06562093645334244,0.9169450998306274,0.3986571729183197,0.007275144569575787
2,-2.2198989391326904,-0.06281464546918869,0.7127625346183777,0.7011861801147461,0.013156456872820854
3,-2.2152647972106934,-0.058255769312381744,0.4768270254135132,0.8788285851478577,0.018588464707136154
4,-2.2120468616485596,-0.052324868738651276,0.30372127890586853,0.9526165127754211,0.024226851761341095
5,-2.2098398208618164,-0.04540252313017845,0.20785272121429443,0.9780274033546448,0.030298102647066116
6,-2.2082388401031494,-0.03786928951740265,0.17738620936870575,0.9840125441551208,0.03673352301120758
7,-2.2068393230438232,-0.03010576404631138,0.20602478086948395,0.9784154891967773,0.04332535341382027
8,-2.2052361965179443,-0.022492486983537674,0.2979976236820221,0.9544254541397095,0.04982657730579376
9,-2.2030248641967773,-0.015410041436553001,0.46303048729896545,0.8861803412437439,0.05602649226784706
10,-2.199800491333008,-0.009239009581506252,0.6892025470733643,0.7243638634681702,0.06184452027082443
11,-2.1951582431793213,-0.004359926097095013,0.8957512974739075,0.44424378871917725,0.06747207790613174
12,-2.188692808151245,-0.001153422868810594,0.9911984801292419,0.13152018189430237,0.07350257784128189
13,-2.180000066757202,0.0,0.0,0.0,0.08082996308803558
14,-2.180000066757202,0.0,0.9999945759773254,0.0,0.08082996308803558
15,-1.996666669845581,0.0,0.9999945759773254,0.0,0.23402488231658936
16,-1.81333327293396,0.0,0.9999945759773254,0.0,0.38721978664398193
17,-1.630000114440918,0.0,0.9999945759773254,0.0,0.540414571762085
18,-1.4466667175292969,0.0,0.9999945759773254,0.0,0.6936094760894775
19,-1.2633334398269653,0.0,0.9999945759773254,0.0,0.8468042612075806
20,-1.0800000429153442,0.0,0.9999945759773254,0.0,0.9999992251396179
