idx,x,y,tx,ty,s_norm
0,-2.4350340366363525,-0.06629407405853271,0.9998613595962524,-0.014736233279109001,0.0
1,-2.4018068313598633,-0.06678378582000732,0.9974466562271118,0.07092081755399704,0.02432977221906185
2,-2.3734686374664307,-0.06476887315511703,0.9861295223236084,0.16573332250118256,0.045129816979169846
3,-2.3491296768188477,-0.06067835912108421,0.9653235673904419,0.2608821392059326,0.06319937109947205
4,-2.3279011249542236,-0.054941266775131226,0.939069390296936,0.3435838520526886,0.07929933071136475
5,-2.3088929653167725,-0.04798661917448044,0.9159354567527771,0.4011963903903961,0.09411830455064774
6,-2.291215181350708,-0.04024342820048332,0.9049472212791443,0.4254005551338196,0.10824815183877945
7,-2.2739784717559814,-0.032140739262104034,0.9104288220405579,0.41354134678840637,0.12219273298978806
8,-2.2562930583953857,-0.024107547476887703,0.9296849370002747,0.36822310090065,0.13641418516635895
9,-2.237269639968872,-0.01657288521528244,0.9548707008361816,0.2968704104423523,0.15139475464820862
10,-2.2160181999206543,-0.009965787641704082,0.9775273203849792,0.21061818301677704,0.1676885187625885
11,-2.1916491985321045,-0.00471523916348815,0.9925926923751831,0.12120117992162704,0.18593958020210266
12,-2.1632728576660156,-0.0012503275647759438,0.9992647171020508,0.03755050152540207,0.2068694829940796
13,-2.130000114440918,0.0,0.0,0.0,0.2312471568584442
14,-2.130000114440918,0.0,0.9999942779541016,0.0,0.2312471568584442
15,-1.9550001621246338,0.0,0.9999942779541016,0.0,0.35937246680259705
16,-1.7799999713897705,0.0,0.9999942779541016,0.0,0.4874979555606842
17,-1.6050000190734863,0.0,0.9999942779541016,0.0,0.6156232953071594
18,-1.4300000667572021,0.0,0.9999942779541016,0.0,0.7437485456466675
19,-1.255000114440918,0.0,0.9999942779541016,0.0,0.8718739151954651
20,-1.0800000429153442,0.0,0.9999942779541016,0.0,0.9999992847442627
